"","PlayerYID","fantasy.points","pos","Name","isPG","isSG","isSF","isPF","isC","cost"
"261","lowryky012018",1471.48403167725,"PG","Kyle Lowry",1,0,0,0,0,25
"262","luwawti012018",400.733850479126,"SF","Timothe Luwawu-Cabarrot",0,0,1,0,0,1
"263","lylestr012018",715.398496627808,"PF","Trey Lyles",0,0,0,1,0,5
"264","macksh012018",607.566145896912,"PG","Shelvin Mack",1,0,0,0,0,2
"265","mahinia012018",526.961491584778,"C","Ian Mahinmi",0,0,0,0,1,1
"266","makerth012018",607.058775901794,"C-PF","Thon Maker",0,0,0,1,1,2
"267","marjabo012018",768.876529693604,"C","Boban Marjanovic",0,0,0,0,1,7
"268","markkla012018",1544.72016906738,"PF","Lauri Markkanen",0,0,0,1,0,27
"269","martija012018",331.461853981018,"PF","Jarell Martin",0,0,0,1,0,1
"270","masonfr012018",451.496148109436,"PG","Frank Mason",1,0,0,0,0,1
"271","matthwe022018",778.465572357178,"SF-SG","Wesley Matthews",0,1,1,0,0,9
"272","mccawpa012018",388.420548439026,"SG","Patrick McCaw",0,1,0,0,0,1
"273","mccolcj012018",1326.74657440186,"SG","CJ McCollum",0,1,0,0,0,21
"274","mccontj012018",772.506008148193,"PG","T.J. McConnell",1,0,0,0,0,7
"275","mcderdo012018",512.4651222229,"SF","Doug McDermott",0,0,1,0,0,2
"276","mcgeeja012018",1341.86945343018,"C","JaVale McGee",0,0,0,0,1,21
"277","mcgruro012018",649.008647918701,"SG","Rodney McGruder",0,1,0,0,0,4
"278","mckinal012018",528.932555198669,"SF","Alfonzo McKinnie",0,0,1,0,0,3
"279","mclembe012018",279.826927661896,"SG","Ben McLemore",0,1,0,0,0,1
"280","mcraejo012018",464.450505256653,"SG","Jordan McRae",0,1,0,0,0,1
"281","mejrisa012018",531.573608398438,"C","Salah Mejri",0,0,0,0,1,1
"282","meltode012018",713.633415222168,"PG","De'Anthony Melton",1,0,0,0,0,5
"283","metuch012018",238.809801578522,"PF","Chimezie Metu",0,0,0,1,0,1
"284","middlkh012018",1413.55751800537,"SF","Khris Middleton",0,0,1,0,0,26
"285","milescj012018",402.283370018005,"SF","C.J. Miles",0,0,1,0,0,1
"286","milleda012018",618.673818588257,"SF","Darius Miller",0,0,1,0,0,5
"287","millspa022018",751.054689407349,"PG","Patty Mills",1,0,0,0,0,6
"288","millspa012018",1253.74801254272,"PF","Paul Millsap",0,0,0,1,0,19
"289","miltosh012018",450.934662818909,"SG","Shake Milton",0,1,0,0,0,1
"290","mirotni012018",1274.44343757629,"PF","Nikola Mirotic",0,0,0,1,0,20
"291","mitchdo012018",1525.700050354,"SG","Donovan Mitchell",0,1,0,0,0,26
"292","monkma012018",638.9297914505,"SG","Malik Monk",0,1,0,0,0,3
"293","monrogr012018",534.352843284607,"C","Greg Monroe",0,0,0,0,1,1
"294","mooreet012018",814.34854888916,"SG","E'Twaun Moore",0,1,0,0,0,8
"295","morrima032018",1113.90470504761,"PF","Marcus Morris",0,0,0,1,0,16
"296","morrima022018",793.196506500244,"PF","Markieff Morris",0,0,0,1,0,7
"297","morrimo012018",966.03137588501,"PG","Monte Morris",1,0,0,0,0,12
"298","motlejo012018",431.614055633545,"PF","Johnathan Motley",0,0,0,1,0,1
"299","mudiaem012018",1080.2449131012,"PG","Emmanuel Mudiay",1,0,0,0,0,15
"300","murraja012018",1384.54702758789,"PG","Jamal Murray",1,0,0,0,0,23
"301","muscami012018",676.893665313721,"PF","Mike Muscala",0,0,0,1,0,4
"302","mykhasv012018",284.622113704681,"SF","Sviatoslav Mykhailiuk",0,0,1,0,0,1
"303","naderab012018",370.586782455444,"SF","Abdel Nader",0,0,1,0,0,1
"304","nancela022018",1356.45931243896,"C","Larry Nance",0,0,0,0,1,22
"305","napiesh012018",668.935901641846,"PG","Shabazz Napier",1,0,0,0,0,4
"306","netora012018",537.454032897949,"PG","Raul Neto",1,0,0,0,0,1
"307","niangge012018",374.818919181824,"PF","Georges Niang",0,0,0,1,0,1
"308","noahjo012018",872.902002334595,"C","Joakim Noah",0,0,0,0,1,9
"309","noelne012018",812.502607345581,"C","Nerlens Noel",0,0,0,0,1,8
"310","nowitdi012018",478.709299087524,"PF","Dirk Nowitzki",0,0,0,1,0,1
"311","ntilila012018",543.197761535645,"PG","Frank Ntilikina",1,0,0,0,0,1
"312","nurkiju012018",1772.22806549072,"C","Jusuf Nurkic",0,0,0,0,1,33
"313","nwabada012018",656.339080810547,"SG","David Nwaba",0,1,0,0,0,4
"314","onealro012018",666.616451263428,"SF","Royce O'Neale",0,0,1,0,0,6
"315","oquinky012018",470.526354789734,"C","Kyle O'Quinn",0,0,0,0,1,1
"316","ojelese012018",326.242054462433,"PF","Semi Ojeleye",0,0,0,1,0,1
"317","okafoja012018",863.916830062866,"C","Jahlil Okafor",0,0,0,0,1,9
"318","okoboel012018",555.12713432312,"PG","Elie Okobo",1,0,0,0,0,1
"319","okogijo012018",717.251554489136,"SG","Josh Okogie",0,1,0,0,0,5
"320","oladivi012018",1423.2181930542,"SG","Victor Oladipo",0,1,0,0,0,24
"321","olynyke012018",938.948234558105,"PF","Kelly Olynyk",0,0,0,1,0,11
"322","osmande012018",1039.22231292725,"SF","Cedi Osman",0,0,1,0,0,16
"323","oubreke012018",1153.73473548889,"SF","Kelly Oubre",0,0,1,0,0,19
"324","pachuza012018",545.393927574158,"C","Zaza Pachulia",0,0,0,0,1,1
"325","parkeja012018",1245.77124595642,"PF","Jabari Parker",0,0,0,1,0,19
"326","parketo012018",659.74068069458,"PG","Tony Parker",1,0,0,0,0,4
"327","parsoch012018",528.343347549438,"SF","Chandler Parsons",0,0,1,0,0,3
"328","pattepa012018",352.577728271484,"PF","Patrick Patterson",0,0,0,1,0,1
"329","paulch012018",1517.82299041748,"PG","Chris Paul",1,0,0,0,0,26
"330","payneca012018",608.187846183777,"PG","Cameron Payne",1,0,0,0,0,2
"331","paytoel012018",1270.7481918335,"PG","Elfrid Payton",1,0,0,0,0,20
"332","pinsoth012018",385.319554328918,"SG","Theo Pinson",0,1,0,0,0,1
"333","plumlma012018",1106.04000091553,"C","Mason Plumlee",0,0,0,0,1,15
"334","plumlmi012018",439.86022567749,"C","Miles Plumlee",0,0,0,0,1,1
"335","poeltja012018",886.359350204468,"C","Jakob Poeltl",0,0,0,0,1,10
"336","pondequ012018",199.546398162842,"SF","Quincy Pondexter",0,0,1,0,0,1
"337","porteot012018",1245.75020980835,"SF","Otto Porter",0,0,1,0,0,21
"338","portibo012018",1244.62692642212,"PF","Bobby Portis",0,0,0,1,0,19
"339","poweldw012018",1102.41771697998,"C","Dwight Powell",0,0,0,0,1,15
"340","powelno012018",699.298961639404,"SG","Norman Powell",0,1,0,0,0,5
"341","poythal012018",571.522583007812,"PF","Alex Poythress",0,0,0,1,0,2
"342","rabbiv012018",738.032140731812,"PF","Ivan Rabb",0,0,0,1,0,6
"343","randlch012018",461.872638702393,"PG","Chasson Randle",1,0,0,0,0,1
"344","randlju012018",1781.45894622803,"PF","Julius Randle",0,0,0,1,0,33
"345","redicjj012018",1086.62175941467,"SG","J.J. Redick",0,1,0,0,0,15
"346","reynoca012018",444.319107055664,"SG","Cameron Reynolds",0,1,0,0,0,1
"347","richajo012018",1217.27359962463,"SG","Josh Richardson",0,1,0,0,0,18
"348","riverau012018",623.532073974609,"SG","Austin Rivers",0,1,0,0,0,3
"349","robingl022018",351.817768096924,"SF","Glenn Robinson",0,0,1,0,0,1
"350","robinje012018",340.043859481812,"SG","Jerome Robinson",0,1,0,0,0,1
"351","robinmi012018",1235.56269264221,"C","Mitchell Robinson",0,0,0,0,1,19
"352","rondora012018",1136.842004776,"PG","Rajon Rondo",1,0,0,0,0,16
"353","rosede012018",1188.1153087616,"PG","Derrick Rose",1,0,0,0,0,17
"354","rosste012018",1001.96479225159,"SG","Terrence Ross",0,1,0,0,0,13
"355","roziete012018",872.177701950073,"PG","Terry Rozier",1,0,0,0,0,9
"356","rubiori012018",1121.58102226257,"PG","Ricky Rubio",1,0,0,0,0,16
"357","russeda012018",1555.24074554443,"PG","D'Angelo Russell",1,0,0,0,0,27
"358","sabondo012018",1597.12598419189,"C","Domantas Sabonis",0,0,0,0,1,28
"359","sampsbr012018",428.945592880249,"SG","Brandon Sampson",0,1,0,0,0,1
"360","saricda012018",986.916439056396,"PF","Dario Saric",0,0,0,1,0,12
"361","satorto012018",1023.30107688904,"PG","Tomas Satoransky",1,0,0,0,0,13
"362","schrode012018",1063.50842857361,"PG","Dennis Schroder",1,0,0,0,0,14
"363","scottmi012018",518.398371696472,"PF","Mike Scott",0,0,0,1,0,1
"364","sefolth012018",431.327095985413,"SF","Thabo Sefolosha",0,0,1,0,0,1
"365","seldewa012018",550.627197265625,"SG","Wayne Selden",0,1,0,0,0,1
"366","sextoco012018",1022.57396125793,"PG","Collin Sexton",1,0,0,0,0,13
"367","shamela012018",704.456571578979,"SG","Landry Shamet",0,1,0,0,0,5
"368","shumpim012018",650.734980583191,"SG","Iman Shumpert",0,1,0,0,0,4
"369","siakapa012018",1598.50545501709,"PF","Pascal Siakam",0,0,0,1,0,28
"370","simmobe012018",1966.12535858154,"PG","Ben Simmons",1,0,0,0,0,38
"371","simmojo022018",515.709772109985,"SG-SF","Jonathon Simmons",0,1,1,0,0,3
"372","simonan012018",286.302092552185,"SG","Anfernee Simons",0,1,0,0,0,1
"373","smartma012018",1006.62167930603,"SG","Marcus Smart",0,1,0,0,0,13
"374","smithde032018",1017.13779830933,"PG","Dennis Smith",1,0,0,0,0,13
"375","smithis012018",706.456726074219,"PG","Ish Smith",1,0,0,0,0,5
"376","smithjr012018",423.426927566528,"SG","J.R. Smith",0,1,0,0,0,1
"377","smithja022018",336.490236282349,"PF-C","Jason Smith",0,0,0,1,1,1
"378","snellto012018",521.808104515076,"SF","Tony Snell",0,0,1,0,0,3
"379","spaldra012018",545.651718139648,"PF","Ray Spalding",0,0,0,1,0,1
"380","spellom012018",706.796901702881,"PF","Omari Spellman",0,0,0,1,0,5
"381","stausni012018",474.316380500793,"SG","Nik Stauskas",0,1,0,0,0,1
"382","stephla012018",632.702231407166,"SG","Lance Stephenson",0,1,0,0,0,3
"383","sumneed012018",264.976521492004,"PG","Edmond Sumner",1,0,0,0,0,1
"384","tatumja012018",1348.76305389404,"SF","Jayson Tatum",0,0,1,0,0,24
"385","teaguje012018",1149.24300956726,"PG","Jeff Teague",1,0,0,0,0,16
"386","templga012018",664.215984344482,"SG","Garrett Temple",0,1,0,0,0,4
"387","theisda012018",686.576236724854,"C","Daniel Theis",0,0,0,0,1,4
"388","thomais022018",316.813422203064,"SG","Isaiah Thomas",0,1,0,0,0,1
"389","thomakh012018",239.896154403687,"SG","Khyri Thomas",0,1,0,0,0,1
"390","thomala012018",372.184669494629,"PF","Lance Thomas",0,0,0,1,0,1
"391","thompkl012018",1377.94214630127,"SG","Klay Thompson",0,1,0,0,0,22
"392","thomptr012018",1315.68500137329,"C","Tristan Thompson",0,0,0,0,1,21
"393","thornsi012018",190.363552570343,"SG","Sindarius Thornwell",0,1,0,0,0,1
"394","tollian012018",451.229247093201,"PF","Anthony Tolliver",0,0,0,1,0,1
"395","townska012018",2351.01461029053,"C","Karl-Anthony Towns",0,0,0,0,1,48
"396","trieral012018",798.641506195068,"SG","Allonzo Trier",0,1,0,0,0,7
"397","tuckepj012018",904.240154266357,"PF","P.J. Tucker",0,0,0,1,0,10
"398","turneev012018",805.037355422974,"PG","Evan Turner",1,0,0,0,0,8
"399","turnemy012018",1494.51525115967,"C","Myles Turner",0,0,0,0,1,25
"400","udohek012018",356.770021438599,"C","Ekpe Udoh",0,0,0,0,1,1
"401","valanjo012018",1490.842918396,"C","Jonas Valanciunas",0,0,0,0,1,25
"402","vanvlfr012018",999.771089553833,"PG","Fred VanVleet",1,0,0,0,0,13
"403","vonleno012018",1131.73186302185,"PF","Noah Vonleh",0,0,0,1,0,16
"404","vucevni012018",2104.49848175049,"C","Nikola Vucevic",0,0,0,0,1,41
"405","wadedw012018",1057.33373260498,"SG","Dwyane Wade",0,1,0,0,0,14
"406","wagnemo012018",442.567398071289,"C","Moritz Wagner",0,0,0,0,1,1
"407","waitedi012018",764.73123550415,"SG","Dion Waiters",0,1,0,0,0,7
"408","walkeke022018",1716.45990753174,"PG","Kemba Walker",1,0,0,0,0,31
"409","walljo012018",1531.74688720703,"PG","John Wall",1,0,0,0,0,26
"410","wallaty012018",332.307796478271,"PG","Tyrone Wallace",1,0,0,0,0,1
"411","princta022018",1002.41319847107,"SF","Taurean Waller-Prince",0,0,1,0,0,15
"412","wanambr012018",386.486317634583,"PG","Brad Wanamaker",1,0,0,0,0,1
"413","warretj012018",1250.09898376465,"SF","T.J. Warren",0,0,1,0,0,22
"414","westbru012018",2186.80346679688,"PG","Russell Westbrook",1,0,0,0,0,43
"415","whitede012018",1064.71335411072,"PG","Derrick White",1,0,0,0,0,14
"416","whiteha012018",1516.17669677734,"C","Hassan Whiteside",0,0,0,0,1,26
"417","wiggian012018",1159.26184654236,"SF","Andrew Wiggins",0,0,1,0,0,19
"418","willijo042018",686.693460464478,"C","Johnathan Williams",0,0,0,0,1,5
"419","willike042018",772.508901596069,"SF","Kenrich Williams",0,0,1,0,0,9
